회사명,카테고리,설명,링크
Molg Ai,SUPPLY CHAIN,Autonomous manufacturing for the circular economy,https://www.plugandplaytechcenter.com/startup/molg-ai
Moment Energy,ENERGY,"Moment repurposese Electric Vehicle batteries to create Commercial & Industrial, Utility and Microgrid Energy Storage Systems",https://www.plugandplaytechcenter.com/startup/momentenergy-ca
Momento,BRAND & RETAIL,Momento focuses on helping developers build reliable applications via serverless distributed systems.,https://www.plugandplaytechcenter.com/startup/gomomento-com
Momentum Materials Solutions,SUSTAINABILITY,Momentum Materials Solutions is bringing innovative materials to the hydrogen fuel cell market to drive performance and protect the planet.,https://www.plugandplaytechcenter.com/startup/momentummaterials-ca
Monalee,SUSTAINABILITY,Our mission is to provide the lowest priced solar for homeowners in the nation. Our business model allows us to cut out the salespeople so the price for solar is reduced by 50%.,https://www.plugandplaytechcenter.com/startup/monalee-co
Monavate,TRAVEL & HOSPITALITY,"Transforming payments from a cost center into a revenue driver with fast, flexible, and scalable solutions tailored for global businesses.",https://www.plugandplaytechcenter.com/startup/monavate-com
Monit,카테고리 없음,"Monit provides powerful, actionable insights for SMBs and the Banks that serve them",https://www.plugandplaytechcenter.com/startup/monitapp-io
Monitaur,MOBILITY,Monitaur is the AI Governance software company.,https://www.plugandplaytechcenter.com/startup/monitaur-ai
MontblancAI,SUPPLY CHAIN,"Manufacturing machine data analysis, aiming to provide production monitoring services along with asset predictive maintenance",https://www.plugandplaytechcenter.com/startup/montblanc-ai
Monterey AI,FINTECH,Monterey AI is a product development copilot that helps clients collect feedback and drive insights.,https://www.plugandplaytechcenter.com/startup/monterey-ai
Moonware,TRAVEL & HOSPITALITY,Moonware automates and optimizes airside operations in airports and vertiports.,https://www.plugandplaytechcenter.com/startup/moonware-us
MooresLabAI,SUPPLY CHAIN,Agentic AI for Silicon Engineering,https://www.plugandplaytechcenter.com/startup/mooreslab-ai
Morpho AI,DEEPTECH,Agile computer-aided invention for a world in motion,https://www.plugandplaytechcenter.com/startup/morpho-ai
Mosaic,INSURTECH,Health plans for modern teams.,https://www.plugandplaytechcenter.com/startup/mosaichealth-io
Motley Bio,HEALTH,Unlocking early disease biology with multiomics,https://www.plugandplaytechcenter.com/startup/motley-bio
Movestax,ENTERPRISE & AI,Movestax is an AI-powered cloud migration & management platform,https://www.plugandplaytechcenter.com/startup/movestax-com
Moveworks,DEEPTECH,Moveworks is the AI platform that powers the best places to work.,https://www.plugandplaytechcenter.com/startup/moveworks-com
Mox Cash,카테고리 없음,-,https://www.plugandplaytechcenter.com/startup/mox-cash
Mozio,ENERGY,Mozio is an airport transfer search and booking engine that enables users to find the fastest means of getting to the airport.,https://www.plugandplaytechcenter.com/startup/mozio-com
mParticle,BRAND & RETAIL,"mParticle is a customer data platform purpose-built to help brands collect, unify and activate upon their first-party data driving innovation across marketing, product and engineering departments.",https://www.plugandplaytechcenter.com/startup/mparticle-com
Multerra Bio,DEEPTECH,Multerra Bio is a business enterprise that develops the research program in various clinical treatments.,https://www.plugandplaytechcenter.com/startup/atgsites-com
Multimodal,FINTECH,"We automate complex, knowledge-based workflows in banking, insurance, and healthcare using generative AI agents.",https://www.plugandplaytechcenter.com/startup/multimodal-dev
Muse Tax,FINTECH,"Muse is a B2B API platform that offers financial and tax insights to institutions such as payroll companies, banks, and credit agencies.",https://www.plugandplaytechcenter.com/startup/musetax-com
Musixen,DEEPTECH,The New Hub for Digital Music & Entertainment,https://www.plugandplaytechcenter.com/startup/musixen-com
MVXchange,SUPPLY CHAIN,A digital maritime trade and logistics service connecting African businesses to international trade.,https://www.plugandplaytechcenter.com/startup/mvxchange-com
My Home Pathway,FINTECH,MHP is offering data driven intermediation services between aspiring first time home buyers (Demand) with underdeveloped credit scores and asset seeking financial institutions (Supply) with customer acquisition risk and cost constraints.,https://www.plugandplaytechcenter.com/startup/myhomepathway-com
myo,HEALTH,myo is a communication platform for nursing homes.,https://www.plugandplaytechcenter.com/startup/myo-de
MyProtectify,GLOBAL OVERSEAS ACCELERATION & LEARNING (GOAL),MyProtectify uses AI to enable victims of domestic violence to have better access to support services.,https://www.plugandplaytechcenter.com/startup/myprotectify-org
Myriad AI,MOBILITY,Regulatory compliance on auto-pilot for enterprises in heavily regulated industries,https://www.plugandplaytechcenter.com/startup/myriad-company
N Robotics,REAL ESTATE & CONSTRUCTION,N Robotics is a robotics company that provides academic institutions and industry partners with tailored robotic solutions.,https://www.plugandplaytechcenter.com/startup/nrobotics-com
n-Join,SUPPLY CHAIN,N-Join is a technology development company focused on the industrial market.,https://www.plugandplaytechcenter.com/startup/n-join-com
N26,카테고리 없음,N26 is a Berlin-based fintech company that enables its customers to manage their bank accounts through their smartphones.,https://www.plugandplaytechcenter.com/startup/n26-com
Naadam,BRAND & RETAIL,"Naadam is an American clothing company specializing in affordable, luxury cashmere products.",https://www.plugandplaytechcenter.com/startup/naadam-co
NablaFlow AS,MOBILITY,Providing simulation tools and services for wind studies and aerodynamics.,https://www.plugandplaytechcenter.com/startup/nablaflow-io
Nanochon,HEALTH,"Nanochon is developing a low cost and highly effective device to treat cartilage damage in the knee, in young and active patients, based on 3D printing and a synthetic cartilage like polymer.",https://www.plugandplaytechcenter.com/startup/nanochon-com
Nanofiber Quantum Technologies,HEALTH,Nanofiber Quantum Technologies is a research and manufacturing company that develops hardware for quantum communications.,https://www.plugandplaytechcenter.com/startup/nano-qt-com
Nanomik Biotechnology Co.,GLOBAL OVERSEAS ACCELERATION & LEARNING (GOAL),Nanomik Bio produces natural biopreservatives to protect fresh fruit and vegatables against microbial pathogens in whole post-harvest stage. Nanomik's product Mikoks is %100 natural and eco-friendly.,https://www.plugandplaytechcenter.com/startup/nanomik-tech-com
NanoTerraTech Advanced Materials Inc.,SUSTAINABILITY,NanoTerraTech creates BIO-Graphite for the EV Battery Markets from sustainable Forestry Biomass Waste.,https://www.plugandplaytechcenter.com/startup/nanoterratech-com
Narrative,FINTECH,From speeding up your launch cycle to supercharging your compliance team,https://www.plugandplaytechcenter.com/startup/thenarrative-dev
Narrativewave,NEW MATERIALS & PACKAGING,NarrativeWave enables self service analytics for the Industrial Internet of Things (IIoT).,https://www.plugandplaytechcenter.com/startup/narrativewave-com
Narya Electric,DEEPTECH,Narya makes it incredibly easy to install residential Electric Vehicle Charging so EV drivers can have peace of mind.,https://www.plugandplaytechcenter.com/startup/narya-io
Native AI,INSURTECH,"The always-on market intelligence platform that helps you understand, innovate, and create ideal experiences for your customers.",https://www.plugandplaytechcenter.com/startup/gonative-ai
nativeorange,INSURTECH,"Nativeorange delivers AI-driven solutions to modernize insurance workflows, enhancing efficiency and customer experience.",https://www.plugandplaytechcenter.com/startup/nativeorange-ai
NATIX (Network),MOBILITY,Making cameras smart and privacy compliant,https://www.plugandplaytechcenter.com/startup/natix-io
Natoma,INSURTECH,"Natoma provides comprehensive solutions for discovering, securing, and managing non-human identities across diverse IT environments.",https://www.plugandplaytechcenter.com/startup/natoma-id
Natáur LLC,AGTECH,"Natáur converts high-value sulfur synthetics to healthy biologicals, starting with our first offering: bio-based taurine.",https://www.plugandplaytechcenter.com/startup/nataur-com
Navlungo,GLOBAL OVERSEAS ACCELERATION & LEARNING (GOAL),Freight Management Platform and E-commerce shipping marketplace,https://www.plugandplaytechcenter.com/startup/navlungo-com
Nawy,REAL ESTATE & CONSTRUCTION,Nawy is a real estate end-to-end website that allows users to browse hundreds of properties and buy houses in gated communities.,https://www.plugandplaytechcenter.com/startup/nawy-com
NayaOne,MEDIA & ADVERTISING,The fastest way to build financial products and services through partnerships.,https://www.plugandplaytechcenter.com/startup/nayaone-com
ndovu,BRAND & RETAIL,Microinvesting platform that provides easy access to financial markets in Africa,https://www.plugandplaytechcenter.com/startup/ndovu-co
Nebuly,FINTECH,The next-generation platform to centralize and optimize all your AI costs in one place.,https://www.plugandplaytechcenter.com/startup/nebuly-ai
Nekso,TRAVEL & HOSPITALITY,"Nekso offers solutions for taxi lines, passengers, and drivers, which include ride hailing, payments, delivery, and freight.",https://www.plugandplaytechcenter.com/startup/nekso-io
Nemo Fintech,MEDIA & ADVERTISING,Decentralized competitive gaming platform,https://www.plugandplaytechcenter.com/startup/blockfish-io
Nemodata,SUPPLY CHAIN,Accelerate EV adoption and reduce greenhouse gas emissions while enabling the world’s fleets to run continuously,https://www.plugandplaytechcenter.com/startup/nemodata-ai
Nemuru,FINTECH,Universal point-of-sale lending platform disrupting how people pay for services and goods.,https://www.plugandplaytechcenter.com/startup/nemuru-com
nen,HEALTH,Nen: Evidence based health designed for children’s minds to improve their lives,https://www.plugandplaytechcenter.com/startup/nen-health
NeoKe,TRAVEL & HOSPITALITY,Identity infrastructure for connected travel,https://www.plugandplaytechcenter.com/startup/neoke-com
NESTRE,MOBILITY,NESTRE is a Neuro-Strength Company that provides mental and cognitive strength training and solutions.,https://www.plugandplaytechcenter.com/startup/nestreperformance-com
Netail,BRAND & RETAIL,"Netail's first product, profitmind, is the world's first AI business analyst - exclusively focused on identifying and quantifying revenue, profit, and working capital opportunities all day, every day.",https://www.plugandplaytechcenter.com/startup/netail-ai
Neteera,ENERGY,"Neteera automates the collection of vital signs in clinical and home-based settings, driving down the cost of care and reducing clinical staff burnout.",https://www.plugandplaytechcenter.com/startup/neteera-com
Nethone,FINTECH,"Know Your Users to resolve fraud. Gain more loyal customers, reject only fraudsters.",https://www.plugandplaytechcenter.com/startup/nethone-com
Netki,FINTECH,Netki is a blockchain infrastructure and services provider. Netki creates digital certificates the validate the identity of individuals and business prior to completing transaction online.,https://www.plugandplaytechcenter.com/startup/netki-com
Netkiller America,BRAND & RETAIL,Netkiller is a provider of cloud-based productivity solutions based on Google apps.,https://www.plugandplaytechcenter.com/startup/netkiller-com
Neumind,HEALTH,"Neumind innovated an intuitive mobile app, called ""Alfred"" that is delivering life-changing digital therapeutics. This can compensate cognitive abilities, support caregivers, deliver quality rehab",https://www.plugandplaytechcenter.com/startup/neumind-co-uk
Neura Health,HEALTH,"Neura’s app is custom-built for specific neurological conditions, providing patients with all they need to manage their condition in one place.",https://www.plugandplaytechcenter.com/startup/neurahealth-co
Neural Trust,ENTERPRISE & AI,NeuralTrust delivers the analytics and security essential for large companies to integrate generative AI into their products and processes,https://www.plugandplaytechcenter.com/startup/neuraltrust-ai
neuralaibobby,FOOD & BEVERAGE,Gen AI for protein functionality,https://www.plugandplaytechcenter.com/startup/neuralaibobby-com
Neuromorphica,AEROSPACE & DEFENSE,Make Knowledge Replicable,https://www.plugandplaytechcenter.com/startup/neuromorphica-com
"Neursantys, Inc.",카테고리 없음,"Innovative wearable devices that provide personalized diagnoses and treatments for balance disruptions caused by aging, injuries, or disease",https://www.plugandplaytechcenter.com/startup/neursantys-com
Neutral Markets,SUSTAINABILITY,"We develop, own and operate products and services that streamline trading in commodity markets.",https://www.plugandplaytechcenter.com/startup/neutralmarkets-com
New Iridium,SUPPLY CHAIN,Photocatalyst platform driving unprecedented efficiencies in chemical and pharmaceutical manufacturing.,https://www.plugandplaytechcenter.com/startup/newiridium-com
New Use Energy,SUSTAINABILITY,Using the Sun to Build a Better Generator,https://www.plugandplaytechcenter.com/startup/newuseenergy-com
New Wave Foods,FOOD & BEVERAGE,New Wave Foods is the leader in sustainable seafood.,https://www.plugandplaytechcenter.com/startup/newwavefoods-com
NewCase,INSURTECH,The AI Platform for Insurance Litigation Teams.,https://www.plugandplaytechcenter.com/startup/newcase-ai
NewRetirement,FINTECH,NewRetirement helps people achieve financial wellness with a digital-first financial planning platform.,https://www.plugandplaytechcenter.com/startup/newretirement-com
newtrul,SUPPLY CHAIN,"newtrul is a shipment aggregation platform that provides freight carriers an easier way to search for their next job. We do this by providing a free search engine (like expedia.com) for freight carriers which allows them to easily search, find and digitally book their customers freight.",https://www.plugandplaytechcenter.com/startup/newtrul-com
Newtwen,MOBILITY,Newtwen has the goal of accellerating the large-scale deployment of digital twin technology in the automotive and automation industry,https://www.plugandplaytechcenter.com/startup/hexadrivengineering-com
Newwave BioTech,AGTECH,New Wave products are Powering Plants Microbiomes.,https://www.plugandplaytechcenter.com/startup/newwavebio-au
Next Level Networks,DEEPTECH,Next Level Networks delivers a platform to enable microscale community ownded gigabit speed broadband systems.,https://www.plugandplaytechcenter.com/startup/nextlevel-net
Nexus-MD Inc,HEALTH,Medical Image Management: Simplified,https://www.plugandplaytechcenter.com/startup/nexus-md-com
Nexxa.ai,ENTERPRISE & AI,"The Nexxa cognitive RPA (robotic process automation) platform transforms repetitive human processes into automated efficient systems using state of the art models, proprietary computer vision and machine learning without limits.",https://www.plugandplaytechcenter.com/startup/nexxa-ai
nFlux,MOBILITY,Improving Productivity in Manufacturing by Assisting Workers with AI,https://www.plugandplaytechcenter.com/startup/nflux-ai
NgData,BRAND & RETAIL,"NGDATA, based in Belgium, uses big data technology to provide customer relationship management (CRM) solutions.",https://www.plugandplaytechcenter.com/startup/ngdata-com
Nibbles,INSURTECH,Nibbles helps pets and their people enjoy a lifetime of health together,https://www.plugandplaytechcenter.com/startup/nibbl-es
nido,NEW MATERIALS & PACKAGING,R&D company that create and develop biotechnature-based solutions for the Construction Industry.,https://www.plugandplaytechcenter.com/startup/nido-eco
Nillify,FINTECH,Nillify employs powerful data analytics to allow users to build a financial backup plan with just their data.,https://www.plugandplaytechcenter.com/startup/nillify-com
Nilus,FOOD & BEVERAGE,"Technology to rescue healthy food at risk of being wasted, and distribute it at discounted prices in low income neighborhoods",https://www.plugandplaytechcenter.com/startup/nilus-org
Nilus,FOOD & BEVERAGE,Nilus lowers the cost of access to food & groceries for low-income people by organizing community group buying networks.,https://www.plugandplaytechcenter.com/startup/nilus-co
NLX,TRAVEL & HOSPITALITY,NLX provides the most comprehensive platform for building enterprise conversational AI,https://www.plugandplaytechcenter.com/startup/nlx-ai
Nobel Works Corp,ENERGY,Supersonic combustion for power generation purposes,https://www.plugandplaytechcenter.com/startup/nobel-works-com
Noble,FINTECH,Noble helps companies quickly assess the creditworthiness of their customers and monitor it over time.,https://www.plugandplaytechcenter.com/startup/benoble-io
Nodar,MOBILITY,We build mass-producible 3D sensors.,https://www.plugandplaytechcenter.com/startup/nodarsensor-com
NODE Robotics,MOBILITY,Enabling Autonomous Intralogistics.,https://www.plugandplaytechcenter.com/startup/node-robotics-com
Nodexus,HEALTH,"Nodexus is democratizing access to live single cells for applications including gene editing, drug development, and more.",https://www.plugandplaytechcenter.com/startup/nodexus-com
Nomyx,FINTECH,"At Nomyx, our mission is to harness the transformative power of blockchain to challenge the status quo.",https://www.plugandplaytechcenter.com/startup/nomyx-io
NoTraffic,ENERGY,NoTraffic is a plug & play turnkey solution for managing traffic using AI & Real-time optimization.,https://www.plugandplaytechcenter.com/startup/notraffic-tech
Nova,ENTERPRISE & AI,All-in-one collaboration workspace where teams can manage the whole collaborative process from start to finish.,https://www.plugandplaytechcenter.com/startup/novatools-org
Novac,MOBILITY,Novac is a company that engineers an innovative shapeable all-solid-state structural supercapacitor.,https://www.plugandplaytechcenter.com/startup/novacsupercap-com
NovaceneAI,ENTERPRISE & AI,NovaceneAI helps organizations couple their data with AI and machine learning to optimize business objectives.,https://www.plugandplaytechcenter.com/startup/novacene-ai
Novali,MARITIME,Novali aims to become the leading manufacturer of next-generation batteries for the automotive and stationary energy storage markets.,https://www.plugandplaytechcenter.com/startup/novali-energy
Novella,FOOD & BEVERAGE,Cultured plant-derived ingredients Next-generation botanical products featuring powerful micronutrients,https://www.plugandplaytechcenter.com/startup/novella-co-il
Noveto,MOBILITY,Noveto is transforming how we experience audio with SoundBeaming™: new listening experience.,https://www.plugandplaytechcenter.com/startup/noveto-com
Noviflow,DEEPTECH,"NoviFlow develops software and systems for high-performance, programmable SDN network switches.",https://www.plugandplaytechcenter.com/startup/noviflow-com
Novity,ENERGY,Novity provides predictive maintenance solutions to help manufacturers prevent unplanned downtime.,https://www.plugandplaytechcenter.com/startup/novity-us
Novoic,INSURTECH,Digital biomarkers to enable targeted treatments and preventative health for neurological diseases,https://www.plugandplaytechcenter.com/startup/novoic-com
NovoPower,SUSTAINABILITY,Turning waste heat into clean power. Pioneering sustainable energy solutions.,https://www.plugandplaytechcenter.com/startup/novopower-ca
NowPay,FINTECH,NowPay is a Software company.,https://www.plugandplaytechcenter.com/startup/nowpay-cash
NuLeaf Farms,FOOD & BEVERAGE,NuLeaf Farms provides development and operation of automated indoor farming facilities to help communities with year-round food supply.,https://www.plugandplaytechcenter.com/startup/nuleaffarms-ca
Nurish'd (Nutrimeals inc),FOOD & BEVERAGE,"Transforming workplace wellness by combating diet-related chronic illnesses with our AI and dietitian-driven approach, seamlessly connecting users tailored food solutions.",https://www.plugandplaytechcenter.com/startup/nurishd-io
NutriSen,MOBILITY,NutriSen combines innovative nitrate biosensors and satellite images to provide precise fertilization recommendation for crop farmers.,https://www.plugandplaytechcenter.com/startup/nutrisen-eu
nyris GmbH,BRAND & RETAIL,We give search the power of sight.,https://www.plugandplaytechcenter.com/startup/nyris-io
Oaken,AGTECH,"Oaken is a B2B SaaS platform creating a world where managing, owning, finding, and investing in farmland is magical and effortless.",https://www.plugandplaytechcenter.com/startup/oaken-ag
Obsidian,SUSTAINABILITY,Obsidian is a powerful knowledge base that works on top of a local folder of plain text Markdown files.,https://www.plugandplaytechcenter.com/startup/obsidian-md
Obvlo,TRAVEL & HOSPITALITY,"Obvlo is an InfoTech firm that allows visitors to discover local restaurants, tourism sites, and events through apps or web-based platforms.",https://www.plugandplaytechcenter.com/startup/obvlo-com
Ocean,FINTECH,Financial technology company,https://www.plugandplaytechcenter.com/startup/thisisocean-com
Octamile,INSURTECH,Octamile in an Insurtech business enabling businesses to simplify access to insurance and protect Africans from financial loss.,https://www.plugandplaytechcenter.com/startup/octamile-com
Octane11,MEDIA & ADVERTISING,Multi-channel digital marketing platform for B2B,https://www.plugandplaytechcenter.com/startup/octane11-com
Odiggo,HEALTH,World’s Lightest & Most Functional Smart-Glasses.,https://www.plugandplaytechcenter.com/startup/odiggo-com
Odin AI,ENTERPRISE & AI,Predictive AI for Oil and Gas,https://www.plugandplaytechcenter.com/startup/skyfrac-com
OfBrains,HEALTH,Technology developer for biomarker discovery.,https://www.plugandplaytechcenter.com/startup/ofbrains-com
OhmSpace,AEROSPACE & DEFENSE,Our mission is to revolutionize the space industry by providing a breakthrough in satellite propulsion technology.,https://www.plugandplaytechcenter.com/startup/ohm-space
Ohoskin,MOBILITY,"Ohoskin is an innovative startup founded in 2019 that patented and creates sustainable, vegan, made in Italy luxury leather alternative made with bioproducts.",https://www.plugandplaytechcenter.com/startup/ohoskin-com
oIBP,BRAND & RETAIL,Smart commodity management solutions for fashion products.,https://www.plugandplaytechcenter.com/startup/o-ibp-com
Okahu,ENTERPRISE & AI,"AI Observability to help enterprises building LLM-based apps in the cloud move to production quickly, easily & safely without having to deal with DIY observability stack.",https://www.plugandplaytechcenter.com/startup/okahu-ai
Okko,HEALTH,Digital Health SAAS Smartphone Eye Health Monitoring.,https://www.plugandplaytechcenter.com/startup/okkohealth-com
OKY,FINTECH,"Building technologies that help immigrants to improve their lives, connecting families and sending value home efficiently.",https://www.plugandplaytechcenter.com/startup/okyapp-com
Olivaw AI,MOBILITY,"Made for manufacturers, robot fleet operators, integrators and even professional users. Maintain and upskill your professional robot fleet on one single platform.",https://www.plugandplaytechcenter.com/startup/olivaw-ai
Oloid,ENERGY,"Contactless Single-sign-on for the desk less worker, enabling the touch less workplace for the new normal.",https://www.plugandplaytechcenter.com/startup/oloid-ai
Omaiko,FOOD & BEVERAGE,"Farming Protein - Functional, Scalable and Sustainable",https://www.plugandplaytechcenter.com/startup/omaiko-eco
Ombre,DEEPTECH,"Ombre, the digitally connected microbiome test and probiotics company focused on gut health and the microbiome to almost every aspect of wellness.",https://www.plugandplaytechcenter.com/startup/ombrelab-com
Omica.Bio,카테고리 없음,.,https://www.plugandplaytechcenter.com/startup/omica-bio
Omlet,ENTERPRISE & AI,Open Source Observability,https://www.plugandplaytechcenter.com/startup/omlet-co
Omni:us,SUPPLY CHAIN,Omni:us delivers structured data from highly variable documents to streamline insurance back end processes,https://www.plugandplaytechcenter.com/startup/omnius-com
Omniox,HEALTH,"a biotechnology company, commercializes technologies used in identifying and treating cancer, cardiovascular disease and trauma",https://www.plugandplaytechcenter.com/startup/omniox-com
Omniscience Corporation,FINTECH,Allow companies to decipher chaos around them based on all the data on a real time basis without making successive approximations.,https://www.plugandplaytechcenter.com/startup/omniscience-com
Omnix IA Corp,SUPPLY CHAIN,"OMNIX is a B2B SaaS platform designed for process automation and the improvement of operational fluidity across various industries. The solution focuses on three fundamental pillars: the ability to work with inaccurate data, anomaly detection, and the recovery of operational fluidity.",https://www.plugandplaytechcenter.com/startup/omnixcorp-com
Onalabs Inno-hub,HEALTH,"Onalabs develops remote, continuous and non-invasive bio-medical devices to improve chronic patients tracking",https://www.plugandplaytechcenter.com/startup/onalabs-com
Ondaka,ENERGY,Ondaka makes Industrial Knowledge Accessible for Critical Infrastructure & Heavy Industry.,https://www.plugandplaytechcenter.com/startup/ondaka-com
OneImaging,HEALTH,A tech-enabled medical imaging network helping employers save on health benefits spending and improve patient care,https://www.plugandplaytechcenter.com/startup/oneimaging-com
Onesight,ENERGY,Providing AR + BIM visual and intelligent software and services for building lifecycle,https://www.plugandplaytechcenter.com/startup/yijianar-com
OneSight,MEDIA & ADVERTISING,OneSight is an Advertising & Marketing focused company.,https://www.plugandplaytechcenter.com/startup/onesight-com
OneSix Energy,ENERGY,"OneSix Energy has developed a novel, patent-pending methane pyrolysis process that has the potential to overcome the challenges of producing green, cost-effective hydrogen...and fill in the missing piece of the clean energy puzzle",https://www.plugandplaytechcenter.com/startup/onesixenergy-com
Onfido,ENERGY,Onfido builds trust in an online world by helping businesses digitally verify people’s identities.,https://www.plugandplaytechcenter.com/startup/onfido-com
OniGO,FOOD & BEVERAGE,OniGO operates and develops an online platform that offers and provides home delivery of supermarket grocery.,https://www.plugandplaytechcenter.com/startup/onigo-co-jp
Ontik,REAL ESTATE & CONSTRUCTION,Trade Credit Platform for construction,https://www.plugandplaytechcenter.com/startup/ontik-io
Oobli (fka. Joywell Foods/MiraculeX),FOOD & BEVERAGE,"MiraculeX, Inc. is redefining sweetness in food by producing plant protein-based sweeteners derived from exot",https://www.plugandplaytechcenter.com/startup/joywellfoods-com
Open Energy,MOBILITY,Open Energy is developing the most advanced and affordable EV battery Swap,https://www.plugandplaytechcenter.com/startup/openenergy-co
OpenLegacy,ENERGY,Instantly Integrate Core Systems to the Cloud- Enabling organizations with legacy systems to release digital services faster and more efficiently than ever before,https://www.plugandplaytechcenter.com/startup/openlegacy-com
OpenPlan,INSURTECH,OpenPlan develops an online platform that offers mini insurance packages.,https://www.plugandplaytechcenter.com/startup/openyourplan-com
OpenSilo,ENTERPRISE & AI,"OpenSilo is an enterprise group chat which uses AI & ML to map employee expertise, and help your company find answers.",https://www.plugandplaytechcenter.com/startup/opensilo-co
Ople.AI,ENTERPRISE & AI,[Acquired] Augmented Analytics built with AI,https://www.plugandplaytechcenter.com/startup/ople-ai
Opsin Security,BRAND & RETAIL,"Opsin is a GenAI security company focused on preventing data leaks by managing access and permissions across AI-driven tools. By addressing oversharing risks, Opsin ensures that sensitive information in tools like Glean, Microsoft Co-pilot, and Google Gemini is only accessible to authorized users.",https://www.plugandplaytechcenter.com/startup/opsinsecurity-com
Optiyol Inc.,MOBILITY,Optiyol is a next generation approach to route optimization that intelligently creates a tailor-made algorithm by understanding and capturing all the realities of operations. Optiyol optimizes routes by reducing fleet and fuel costs while improving on-time performance.,https://www.plugandplaytechcenter.com/startup/optiyol-com
Opto,SUPPLY CHAIN,Opto is building the one-stop-shop for financing trucking companies in Europe.,https://www.plugandplaytechcenter.com/startup/getopto-com
Oraan,FINTECH,Oraan is a women-first social bank in Pakistan,https://www.plugandplaytechcenter.com/startup/oraan-com
Orby AI,MOBILITY,Orby AI observes and learns from users’ day to day work and automatically creates the scripts and models to automate both rules based tasks and more complex tasks that require AI and ML. No heavy services is required for process discovery and implementation.,https://www.plugandplaytechcenter.com/startup/orby-ai
Ore Energy,MOBILITY,"Developing a new generation, cost-effective, multi-day energy storage system for reliable renewable energy at all times",https://www.plugandplaytechcenter.com/startup/oreenergy-nl
Organicin Scientific,SUSTAINABILITY,"To reduce the world's reliance on antibiotics and to introduce safe and sustainable alternatives to protect our food supply, and population, from disease.",https://www.plugandplaytechcenter.com/startup/organicinscientific-com
"Oro Muscles, Inc",MEDTECH,"Empowering physiotherapists and orthopedic surgeons with real-time, medical-grade muscle insights that boost efficiency, cut costs, and enhance patient outcomes.",https://www.plugandplaytechcenter.com/startup/oromuscles-com
ORtelligence,HEALTH,"ORtelligence is digitizing and optimizing surgical processes to boost teamwork, efficiency, and quality.",https://www.plugandplaytechcenter.com/startup/ortelligence-com
otonomo,ENERGY,Otonomo – the platform powering the mobility economy,https://www.plugandplaytechcenter.com/startup/otonomo-io
Ottopia Technologies,MOBILITY,"Ottopia Technologies develops and provides a platform that enables remote humans to guide vehicles in a way that is safe, reliable, scalable, and cyber-secure.",https://www.plugandplaytechcenter.com/startup/ottopia-tech
Outfox Health,INSURTECH,"Outfox Health is an enterprise AI platform that helps health plans & self-funded employers recapture $238 billion lost from poor care navigation by giving their members & care navigators instant, personalized guidance on benefits, providers, and costs.",https://www.plugandplaytechcenter.com/startup/outfoxhealth-com
Overnght Media Group,SPORTSTECH,Overnght Media Group provides a meaningful and approachable platform for online audio and video media.,https://www.plugandplaytechcenter.com/startup/overnght-com
Owkin,HEALTH,Owkin combines life-science and machine learning expertise to make drug development and clinical trial design more targeted and more cost effective. Owkin's machine learning algorithms create models that predict disease evolution and treatment outcomes.,https://www.plugandplaytechcenter.com/startup/owkin-com
Owl Labs Inc.,INSURTECH,"owl.co is a fraud detection platform empowering insurers to streamline disability claims management and to unlock millions of dollars in reserves. By analyzing external data from thousands of databases, owl.co flags upto 4x more suspicious activities than manual processes.",https://www.plugandplaytechcenter.com/startup/owl-co
Ownest SAS,SUPPLY CHAIN,Ownest is the Blockchain solution bringing 100% traceability through proof of Ownership across any supply chain.,https://www.plugandplaytechcenter.com/startup/ownest-io
OXbyEL Technologies,SUSTAINABILITY,"OxByEl is solving the water contamination crisis in one clean, affordable step with electrochemical treatment technology that destroys PFAS and a wide range of co-contaminants in water and wastewater.",https://www.plugandplaytechcenter.com/startup/oxbyel-com
Oxford Cancer Analytics,HEALTH,Enabling Curative Cancer Treatment Through Early Detection- Focused on Lung Cancer,https://www.plugandplaytechcenter.com/startup/oxcan-org
OXIO,BRAND & RETAIL,AWS for wireless connectivity to enable enterprises to own and build new connectivity experiences,https://www.plugandplaytechcenter.com/startup/oxio-com
Oxylus Energy,ENERGY,Oxylus is an e-methanol company working on CO2 electrolysis.,https://www.plugandplaytechcenter.com/startup/oxylusenergy-com
Ozsepa,GLOBAL OVERSEAS ACCELERATION & LEARNING (GOAL),Cheongsoo Industry Co. is a producer of OZ-SEPA filters that filter oil and pest control for industrial and commercial products.,https://www.plugandplaytechcenter.com/startup/ozsepa-com
P2M,AEROSPACE & DEFENSE,"P2M is engaged in the development of applications dedicated to the management, storage, and tracking of technical, production, maintenance, and functional information.",https://www.plugandplaytechcenter.com/startup/p2m-it
Pagaris,FINTECH,Pagaris democratizes the SPEI Mexican payments system for companies to automate their payments,https://www.plugandplaytechcenter.com/startup/pagaris-com
PAGO46,FINTECH,"Leverages technology to revolutionize payments in emerging markets by making them safer, more convenient, and beneficial for consumers, merchants, and cities",https://www.plugandplaytechcenter.com/startup/pago46-com
Paidback,FINTECH,Paidback makes paying off debt faster and easier.,https://www.plugandplaytechcenter.com/startup/thepaidbackapp-com
Pal,HEALTH,Digital palliative care for families affected by life-limiting illness.,https://www.plugandplaytechcenter.com/startup/palhelps-com
